class   coords1   coords2   coords3   coords4   confidence_value   objectID
56 0.537042 0.799172 0.173862 0.309374 0.876843 24
56 0.206082 0.855475 0.208661 0.28853 0.527045 29

0 0.795021 0.67006 0.409957 0.659522 0.873606 12
56 0.840614 0.886064 0.318771 0.226643 0.541046 11
0 0.188189 0.592134 0.278976 0.418871 0.783888 16
0 0.110964 0.736691 0.221928 0.52451 0.7626 22
56 0.536723 0.795459 0.171938 0.306218 0.892063 24
56 0.203496 0.853987 0.209738 0.2912 0.575447 29

0 0.795481 0.671053 0.409037 0.657865 0.880267 12
56 0.840671 0.887405 0.316071 0.224207 0.661989 11
0 0.188395 0.594072 0.276342 0.417407 0.764317 16
0 0.109402 0.737797 0.218805 0.522244 0.75188 22
56 0.536798 0.796701 0.171525 0.306068 0.875287 24
56 0.203624 0.854411 0.209207 0.289841 0.5018 29

0 0.17986 0.70915 0.35972 0.57961 0.949441 1
0 0.435542 0.894578 0.169408 0.209689 0.867276 2

0 0.795742 0.671925 0.40848 0.656151 0.86601 12
56 0.840584 0.887644 0.315671 0.223788 0.664504 11
0 0.1883 0.593814 0.273504 0.414925 0.779615 16
0 0.106292 0.74557 0.212583 0.506336 0.523193 22
56 0.536703 0.802518 0.17638 0.316534 0.858705 24
56 0.203515 0.855008 0.20819 0.288151 0.498153 29
56 0.329942 0.697968 0.0845768 0.171316 0.537899 30

0 0.795147 0.670163 0.409705 0.659674 0.876044 12
56 0.840569 0.887229 0.316865 0.224666 0.718505 11
0 0.190314 0.587491 0.267133 0.406815 0.695074 16
0 0.115581 0.741866 0.231162 0.514252 0.738295 22
56 0.536481 0.797376 0.171186 0.306977 0.890949 24
56 0.329877 0.695277 0.0849956 0.172087 0.558823 30

0 0.795668 0.671718 0.40853 0.656564 0.864568 12
56 0.84056 0.887732 0.315673 0.223659 0.672661 11
0 0.139927 0.740672 0.248905 0.516305 0.823696 22
56 0.536394 0.800836 0.173733 0.312641 0.863929 24

